outlier_rank,symbol,event_date,excess_bps,liquidity,row_date,Open,High,Low,Close,Volume,pct_change,flags
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-10,64.475645,64.475645,57.76551,57.76551,59.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-11,51.93061,51.93061,46.6792,46.6792,197.0,-19.191919191919183,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-12,42.01128,42.01128,37.780978,37.780978,59.0,-19.062498928859117,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-13,33.988293,33.988293,30.487353,30.487353,207.0,-19.305019049533335,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-14,27.42403,27.42403,24.681626,24.681626,567.0,-19.043066808719,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-17,22.17262,22.17262,19.955359,19.955359,3742.0,-19.148928842856627,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-18,17.913144,17.913144,16.104324,16.104324,507.0,-19.29824965814949,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-13,33.988293,33.988293,30.487353,30.487353,207.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-14,27.42403,27.42403,24.681626,24.681626,567.0,-19.043066808719,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-17,22.17262,22.17262,19.955359,19.955359,3742.0,-19.148928842856627,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-18,17.913144,17.913144,16.104324,16.104324,507.0,-19.29824965814949,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-19,14.470551,14.470551,13.011826,13.011826,1410.0,-19.20290476023706,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-20,11.698974,11.698974,10.50282,10.50282,3946.0,-19.282505007367913,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-21,9.452539,9.452539,8.48978,8.48978,6670.0,-19.16666190604047,BUYUK_TEK_GUN_HAREKETI(>%15)
7,BALAT,2012-09-10,-6500.744726867286,illiquid,2012-09-05,98.901555,98.901555,98.901555,98.901555,1.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
7,BALAT,2012-09-10,-6500.744726867286,illiquid,2012-09-06,88.982225,88.982225,88.982225,88.982225,3.0,-10.029498525073743,BUYUK_TEK_GUN_HAREKETI(>%15)
